Obra;Bloco;Unidade;Empresa;SituacaoUnidade;DataVenda;ValorVenda;DataLiberacaoChaves;FormaPagamento;FaseIncorporacao;DataCessao;DataDesembolso;DataEntregaInicial;DataHabiteSe;StatusDistrato;DataChaves;IndicePreChaves;IndicePosChaves;DebitoAutomatico;SaldoDevedor;DiasAtraso;ValorAtraso;TotalAtraso;CRM_ProcessamentoPendente;CRM_Operacao;CRM_PosicaoFinanceiraId;CreatedOn;ModifiedOn;DataPrevisaoEntrega;ValorPago;ValorPagoAtualizado;TipoPagamento;DataQuitacao;ValorQuitacao;LR_TipoContrato;LR_Saldo;LR_DataVencimento;LR_Codigo;LR_DataRenegociacao;PCVF_SaldoDevedor;PCVF_TotalAtraso;PCVU_SaldoDevedor;PCVU_TotalAtraso;PCVP_SaldoDevedor;PCVP_TotalAtraso;DEC_SaldoDevedor;DEC_TotalAtraso;MOD_SaldoDevedor;MOD_TotalAtraso;LIG_SaldoDevedor;LIG_TotalAtraso;TCS_SaldoDevedor;TCS_TotalAtraso;LOT_SaldoDevedor;LOT_TotalAtraso;CRM_ProcessamentoPendenteRepasse;ValorTotalReceberObras;ValorParcelaChaves;ValorTotalPosObra;DataUltimaPrestacaoPaga;DataUltimaAlteracao
12;3;22;41;Q ;2019-01-21 00:00:00.000;179683.00;2019-02-04 00:00:00.000;3;0;;2019-01-31 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2019-01-01 00:00:00.000;INCC2     ;IGPM2     ;;0.00;0;0.00;0.00;0;U;;2019-02-02 01:00:30.867;2019-02-05 01:00:32.707;2000-01-01 00:00:00.000;-179683.00;-179683.00;PCV;2019-01-24 00:00:00.000;179683.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2019-01-24 00:00:00.000;
12;3;38;41;Q ;2009-09-01 00:00:00.000;96927.95;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;1996-05-31 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;40E2984E-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.593;2016-05-17 02:30:11.077;2000-01-01 00:00:00.000;-77371.46;-122310.04;PCV;2009-09-30 00:00:00.000;77371.46;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;41;41;Q ;2009-09-01 00:00:00.000;120860.87;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2003-03-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;0D69895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.600;2016-05-17 02:30:11.083;2000-01-01 00:00:00.000;-140770.37;-222501.31;PCV;2009-12-01 00:00:00.000;2672.26;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;55;41;Q ;2009-09-01 00:00:00.000;93072.16;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2001-07-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;3BA126AE-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.607;2016-06-01 02:30:09.020;2000-01-01 00:00:00.000;-92701.95;-142273.12;PCV;2016-05-20 00:00:00.000;1156.30;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;83;41;Q ;2009-09-01 00:00:00.000;61263.71;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2000-02-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;B068895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.613;2016-05-17 02:30:11.117;2000-01-01 00:00:00.000;-47876.24;-75683.53;PCV;2009-09-30 00:00:00.000;47876.24;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;94;41;Q ;2009-09-01 00:00:00.000;89574.26;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;1996-07-29 00:00:00.000;INCC1     ;IPCF1     ;;0.00;0;0.00;0.00;0;U;EAD63D9C-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.620;2016-05-17 02:30:11.123;2000-01-01 00:00:00.000;-75025.51;-112794.30;PCV;2009-09-30 00:00:00.000;75025.51;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
12;3;127;41;Q ;2009-09-01 00:00:00.000;106405.00;;3;0;;2009-09-30 00:00:00.000;2000-01-01 00:00:00.000;1997-04-08 00:00:00.000;;2003-10-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;C13C5E08-C66E-E411-B2D5-001DD8300006;2014-11-24 17:40:11.627;2016-05-17 02:30:11.133;2000-01-01 00:00:00.000;-67715.16;-104671.35;PCV;2012-09-15 00:00:00.000;645.46;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;1;11;41;Q ;2009-09-01 00:00:00.000;189723.70;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1994-12-12 00:00:00.000;INCC1     ;OTN01     ;;0.00;0;0.00;0.00;0;U;59934596-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:24.843;2016-05-17 02:30:09.393;1996-10-05 00:00:00.000;-126389.89;-132411.28;PCV;2011-10-18 00:00:00.000;40000.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;1;44;41;Q ;2009-09-01 00:00:00.000;84455.75;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1995-03-30 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;58D73D9C-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:24.883;2016-05-17 02:30:09.403;1996-10-05 00:00:00.000;-105782.64;-167222.89;PCV;2009-09-30 00:00:00.000;105782.64;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;1;72;41;Q ;2009-09-01 00:00:00.000;104775.72;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1995-03-31 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;6B5D2EA8-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:24.943;2016-05-17 02:30:09.413;1996-10-05 00:00:00.000;-89063.44;-136908.24;PCV;2010-12-13 00:00:00.000;25000.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;1;84;41;Q ;2017-07-03 00:00:00.000;271320.00;2017-07-07 00:00:00.000;3;0;;2017-07-06 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;2017-07-01 00:00:00.000;INCC2     ;IGPM2     ;;0.00;0;0.00;0.00;0;U;5ED73D9C-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:24.993;2017-07-11 01:00:00.147;1996-10-05 00:00:00.000;-271320.00;-271320.00;PCV;2017-07-04 00:00:00.000;271320.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2017-07-04 00:00:00.000;
22;1;114;41;Q ;2009-09-01 00:00:00.000;112198.88;;3;0;2013-09-25 00:00:00.000;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;1;2002-08-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;3F5E2EA8-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.200;2016-05-17 02:30:09.420;1996-10-05 00:00:00.000;-237483.28;-319466.21;PCV;2013-09-26 00:00:00.000;156309.69;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;1;122;41;Q ;2009-09-01 00:00:00.000;102414.62;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1995-02-28 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;5A5D2EA8-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.230;2016-05-17 02:30:09.430;1996-10-05 00:00:00.000;-111011.61;-175488.93;PCV;2009-09-30 00:00:00.000;111011.61;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;2;43;41;Q ;2009-09-01 00:00:00.000;122945.39;;3;0;2013-05-28 00:00:00.000;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1995-12-15 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;0A944596-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.257;2016-05-17 02:30:09.440;1996-10-05 00:00:00.000;-48345.98;-76425.90;PCV;2009-09-30 00:00:00.000;48345.98;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;2;84;41;Q ;2009-09-01 00:00:00.000;258579.20;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1997-06-30 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;571A36A2-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.280;2016-05-17 02:30:09.450;1996-10-05 00:00:00.000;-229219.01;-306123.72;PCV;2015-08-21 00:00:00.000;27015.92;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;2;94;41;Q ;2012-11-01 00:00:00.000;279130.00;;2;0;;2012-11-29 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;1;2012-11-01 00:00:00.000;IGPM1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;CCE31EB4-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.310;2016-05-17 02:30:09.460;1996-10-05 00:00:00.000;-282200.00;-352108.92;REP;2013-02-04 00:00:00.000;225200.00;REP;0.00;2013-02-14 00:00:00.000;1E+12;2013-01-11 00:00:00.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;3;11;41;Q ;2009-09-01 00:00:00.000;142012.41;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1994-10-24 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;3568895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.340;2016-05-17 02:30:09.470;1996-10-05 00:00:00.000;-182709.50;-288830.10;PCV;2009-09-30 00:00:00.000;182709.50;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;3;21;41;Q ;2009-09-01 00:00:00.000;156518.07;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1994-08-25 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;3F68895A-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.370;2016-05-17 02:30:09.480;1996-10-05 00:00:00.000;-168583.27;-266499.13;PCV;2009-09-30 00:00:00.000;168583.27;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;3;74;41;Q ;2009-09-01 00:00:00.000;321300.40;;3;0;;2009-09-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;;1994-08-01 00:00:00.000;INCC1     ;IGPM1     ;;0.00;0;0.00;0.00;0;U;7CC15F7E-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.393;2016-05-17 02:30:09.490;1996-10-05 00:00:00.000;-174556.20;-223186.53;PCV;2010-10-15 00:00:00.000;100000.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;;;;;
22;3;101;41;Q ;2016-08-26 00:00:00.000;310000.00;2016-08-31 00:00:00.000;3;0;;2016-08-30 00:00:00.000;1996-10-05 00:00:00.000;1996-10-05 00:00:00.000;1;2016-08-01 00:00:00.000;INCC2     ;IGPM2     ;;0.00;0;0.00;0.00;0;U;57D86C72-C56E-E411-B2D5-001DD8300006;2014-11-24 17:40:25.447;2016-09-01 02:30:00.187;1996-10-05 00:00:00.000;-310000.00;-310000.00;PCV;2016-08-26 00:00:00.000;310000.00;;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0.00;0.00;2016-08-26 00:00:00.000;
